auteur,avis,contributions,hotel,nb_avis_total,note,note_moyenne,sentiment_label,sentiment_score,sentiment_num,sentiment_z,sentiment_polarity,langue,avis_clean,topic_id,topic_score,topic_label,macro_topic,nb_mots,influence_score,influential_flag
Willgina03,"Français Nous avons réservé ici avec des amis pour l'anniversaire de mon mari car nous voulions retourner à Paris car c'était il y a plusieurs années, nous y sommes allés. L'hôtel est situé à travers une petite arcade et la réception au 1er",0,BW_Ronceray_Opera,1189,3.0,3.8,5 stars,0.3542215526103973,5,1.0,pos,fr,français nous avons réservé ici avec des amis pour l'anniversaire de mon mari car nous voulions retourner à paris car c'était il y a plusieurs années nous y sommes allés l'hôtel est situé à travers une petite arcade et la réception au er,0,0.0604312995789198,"situé, hôtel, hôtel situé, métro",Localisation / Transports,46,0.4679814204348989,0
晁金焰,"Les chambres sont moyennes, mais l'attitude du service est très bonne et l'emplacement est assez bon",15,BW_Ronceray_Opera,1189,4.0,3.8,3 stars,0.5385729670524597,3,0.0,neu,fr,les chambres sont moyennes mais l'attitude du service est très bonne et l'emplacement est assez bon,6,0.133206969441549,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,18,0.0716546112623928,0
Trip.com Member,"Avantages : La station de métro est très proche, il y a des commerces en bas, et il y a de nombreux restaurants asiatiques et un célèbre restaurant français à proximité. La réceptionniste à la peau foncée était très serviable et a vérifié",0,BW_Ronceray_Opera,1189,4.5,3.8,4 stars,0.4318220913410187,4,0.5,pos,fr,avantages la station de métro est très proche il y a des commerces en bas et il y a de nombreux restaurants asiatiques et un célèbre restaurant français à proximité la réceptionniste à la peau foncée était très serviable et a vérifié,0,0.0457090795208222,"situé, hôtel, hôtel situé, métro",Localisation / Transports,42,0.2577867251416713,0
Z2604LXcaterinag,Chambre réservée en août (donc 3 mois avant le séjour). Nous sommes arrivés et on m'a attribué une chambre au cinquième étage ; dommage que l'ascenseur s'arrête au quatrième et que nous ayons dû monter un escalier étroit et en colimaçon,0,BW_Ronceray_Opera,1189,2.0,3.8,3 stars,0.3768849968910217,3,0.0,neu,fr,chambre réservée en août donc mois avant le séjour nous sommes arrivés et on m'a attribué une chambre au cinquième étage dommage que l'ascenseur s'arrête au quatrième et que nous ayons dû monter un escalier étroit et en colimaçon,3,0.0907940823169946,"chambre, petite, chambre petite, lit",Chambre / Confort,43,0.0780047679892725,0
cindyvO518XK,"Un hôtel très vieillot, bien situé. Personnel très désagréable (on ne se sent pas vraiment bien accueilli). Le petit-déjeuner était correct (prix/qualité), mais rarement réapprovisionné, ce qui faisait qu'il fallait soit attendre longtemps,",0,BW_Ronceray_Opera,1189,2.0,3.8,2 stars,0.7150169610977173,2,-0.5,neg,fr,un hôtel très vieillot bien situé personnel très désagréable on ne se sent pas vraiment bien accueilli le petit-déjeuner était correct prix qualité mais rarement réapprovisionné ce qui faisait qu'il fallait soit attendre longtemps,2,0.0931979953362126,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,36,0.2721846733154355,0
Antonio Basso,"Pas du tout satisfait. L'emplacement est relativement bon, mais le personnel de la réception, à l'exception de la première personne qui nous a accueillis, ne fait aucun effort pour vous aider dans une autre langue que le français. Le personnel d'entretien est encore pire ; le personnel de ménage devrait être remplacé. Ce n'est pas adapté aux voyageurs. La chambre est trop petite. L'emplacement dans un tunnel est étrange. Je n'y retournerais pas et je ne le recommande pas.",11,BW_Ronceray_Opera,1189,2.0,3.8,1 star,0.5366350412368774,1,-1.0,neg,fr,pas du tout satisfait l'emplacement est relativement bon mais le personnel de la réception à l'exception de la première personne qui nous a accueillis ne fait aucun effort pour vous aider dans une autre langue que le français le personnel d'entretien est encore pire le personnel de ménage devrait être remplacé ce n'est pas adapté aux voyageurs la chambre est trop petite l'emplacement dans un tunnel est étrange je n'y retournerais pas et je ne le recommande pas,5,0.0983089232883778,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,84,0.5213095296842052,1
Angela Fdez,"Hôtel avec un excellent emplacement. A 1 km du Musée du Louvre et de l'Opéra Garnier. Il est situé dans une galerie commerçante animée. A quelques mètres se trouve une station de métro et dans les environs vous trouverez de nombreux bars, cafés et restaurants. Excellente attention du personnel de la réception. Chambre petite mais très propre et confortable. Le petit déjeuner exquis. Recommandé de passer un week-end.",148,BW_Ronceray_Opera,1189,5.0,3.8,5 stars,0.6869767904281616,5,1.0,pos,fr,hôtel avec un excellent emplacement a km du musée du louvre et de l'opéra garnier il est situé dans une galerie commerçante animée a quelques mètres se trouve une station de métro et dans les environs vous trouverez de nombreux bars cafés et restaurants excellente attention du personnel de la réception chambre petite mais très propre et confortable le petit déjeuner exquis recommandé de passer un week-end,6,0.0891960382184716,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,70,0.5037286698329405,1
Darinajones,"L'hôtel est bien situé. Il est proche du métro et de nombreux restaurants. Il est également à quelques pas des centres commerciaux Lafayette. Les chambres ne sont pas très grandes, mais correctes. Le placard est un peu petit, mais pour quelques nuits, c'est suffisant. Je pense que pour ce prix à Paris, c'est un très bon hôtel.",0,BW_Ronceray_Opera,1189,4.0,3.8,4 stars,0.611270546913147,4,0.5,pos,fr,l'hôtel est bien situé il est proche du métro et de nombreux restaurants il est également à quelques pas des centres commerciaux lafayette les chambres ne sont pas très grandes mais correctes le placard est un peu petit mais pour quelques nuits c'est suffisant je pense que pour ce prix à paris c'est un très bon hôtel,0,0.0889526307654797,"situé, hôtel, hôtel situé, métro",Localisation / Transports,60,0.2938448444790685,0
maurizioD437LZ,"J'ai séjourné ici pendant un week-end et je dois dire que, dans l'ensemble, je m'attendais à mieux. Assez vieillot, le style aurait besoin d'un petit rafraîchissement. Il y a un joli petit bar, mais les bouteilles ne sont exposées que",0,BW_Ronceray_Opera,1189,2.0,3.8,3 stars,0.6484100818634033,3,0.0,neu,fr,j'ai séjourné ici pendant un week-end et je dois dire que dans l'ensemble je m'attendais à mieux assez vieillot le style aurait besoin d'un petit rafraîchissement il y a un joli petit bar mais les bouteilles ne sont exposées que,2,0.056200472156295,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,45,0.0651979175832255,0
Trip.com Member,L'hôtel est un peu en mauvais état. Nous avons demandé quelques chambres que nous connaissions déjà et on nous en a attribué une sans vue. Nous avons dû insister et on nous en a trouvé une. Les toilettes et la douche étaient bouchées. Le sèche-cheveux ne fonctionnait pas.,0,BW_Ronceray_Opera,1189,2.5,3.8,2 stars,0.590704083442688,2,-0.5,neg,fr,l'hôtel est un peu en mauvais état nous avons demandé quelques chambres que nous connaissions déjà et on nous en a attribué une sans vue nous avons dû insister et on nous en a trouvé une les toilettes et la douche étaient bouchées le sèche-cheveux ne fonctionnait pas,4,0.0408807413365492,"chambres, petites, chambres petites, propres",Chambre / Confort,50,0.2635501902605921,0
ralfgG8739AK,"Nous y avons séjourné une semaine. L'hôtel est idéalement situé, à proximité des lignes de métro 8 et 9, des arrêts de bus et des centres commerciaux avec supermarchés. Le buffet du petit-déjeuner est bon et le café délicieux. La salle de",0,BW_Ronceray_Opera,1189,3.0,3.8,5 stars,0.4291732311248779,5,1.0,pos,fr,nous y avons séjourné une semaine l'hôtel est idéalement situé à proximité des lignes de métro et des arrêts de bus et des centres commerciaux avec supermarchés le buffet du petit-déjeuner est bon et le café délicieux la salle de,2,0.0758946316883493,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,44,0.4726244150105808,0
VisitatoreMusei,"Excellent, c'est un hôtel trois étoiles supérieur. Le personnel à la conciergerie, au restaurant et dans les couloirs était extrêmement gentil, toujours prêt à aider et à vous indiquer les directions. Excellent petit-déjeuner ! Chambres",0,BW_Ronceray_Opera,1189,5.0,3.8,3 stars,0.6813371777534485,3,0.0,neu,fr,excellent c'est un hôtel trois étoiles supérieur le personnel à la conciergerie au restaurant et dans les couloirs était extrêmement gentil toujours prêt à aider et à vous indiquer les directions excellent petit-déjeuner chambres,2,0.0981802072668895,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,36,0.0743108347757844,0
taysar2023,On nous a cambriolés à l'hôtel. Ils ont ouvert nos sacs et pris tout notre argent. Le gérant a dit qu'il n'y avait pas de caméras de sécurité. Nous avons déposé une plainte au commissariat et ils ont dit que cela s'était déjà produit. Hôtel sans aucune sécurité. N'y séjournez pas.,0,BW_Ronceray_Opera,1189,1.0,3.8,1 star,0.8209502696990967,1,-1.0,neg,fr,on nous a cambriolés à l'hôtel ils ont ouvert nos sacs et pris tout notre argent le gérant a dit qu'il n'y avait pas de caméras de sécurité nous avons déposé une plainte au commissariat et ils ont dit que cela s'était déjà produit hôtel sans aucune sécurité n'y séjournez pas,0,0.0274791270125039,"situé, hôtel, hôtel situé, métro",Localisation / Transports,56,0.4636990152322946,0
laroby,"Le concierge et le personnel étaient très aimables. La chambre était propre et spacieuse. Le petit-déjeuner était copieux. Que dire ? En tant qu'agent d'assurance, j'appréhende une chambre toute en bois et papier peint, avec une mezzanine,",0,BW_Ronceray_Opera,1189,3.0,3.8,4 stars,0.3055302500724792,4,0.5,pos,fr,le concierge et le personnel étaient très aimables la chambre était propre et spacieuse le petit-déjeuner était copieux que dire en tant qu'agent d'assurance j'appréhende une chambre toute en bois et papier peint avec une mezzanine,2,0.1151286988614484,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,40,0.2854555925727667,0
Dmitriy K,"Il n’y a aucune insonorisation du tout. Vous entendrez tout ce que vos voisins disent – ​​et font – y compris des choses que vous préféreriez ne pas dire. J’ai demandé à changer de chambre une fois, mais elles sont toutes identiques. Le seul moment où l’on peut bien dormir, c’est lorsqu’il n’y a pas de voisins. De plus, de la musique très forte est diffusée à proximité jusqu'à très tard dans la nuit (1h-2h du matin).",7,BW_Ronceray_Opera,1189,1.0,3.8,5 stars,0.618621289730072,5,1.0,pos,fr,il n y a aucune insonorisation du tout vous entendrez tout ce que vos voisins disent et font y compris des choses que vous préféreriez ne pas dire j ai demandé à changer de chambre une fois mais elles sont toutes identiques le seul moment où l on peut bien dormir c est lorsqu il n y a pas de voisins de plus de la musique très forte est diffusée à proximité jusqu'à très tard dans la nuit h- h du matin,3,0.0500174294509164,"chambre, petite, chambre petite, lit",Chambre / Confort,83,0.4997231151635795,1
Trip.com Member,"Bon emplacement et bon petit-déjeuner. La chambre était propre et les lits confortables. Cependant, nous avons trouvé quelques petits insectes (ressemblant à des fourmis) sur le bureau, ce qui nous a un peu inquiétés. Les installations",0,BW_Ronceray_Opera,1189,4.0,3.8,3 stars,0.5790578722953796,3,0.0,neu,fr,bon emplacement et bon petit-déjeuner la chambre était propre et les lits confortables cependant nous avons trouvé quelques petits insectes ressemblant à des fourmis sur le bureau ce qui nous a un peu inquiétés les installations,2,0.104138952049559,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,37,0.0778317272344662,0
ostal,L'emplacement est parfait : à proximité de plusieurs stations de métro. Le petit déjeuner était correct. Dommage qu'il n'y ait pas de légumes du tout... Il y avait quelque chose de bizarre dans la douche : le cadre de la porte de la,0,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.4566478431224823,3,0.0,neu,fr,l'emplacement est parfait à proximité de plusieurs stations de métro le petit déjeuner était correct dommage qu'il n'y ait pas de légumes du tout il y avait quelque chose de bizarre dans la douche le cadre de la porte de la,6,0.0889655881842927,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,44,0.0782024523037068,0
THOMAS LAPPAS,"Points positifs : 1. Excellent emplacement : l’hôtel est très bien situé à Paris. L'accès est très facile au mètre (2 minutes à pied depuis l'arrêt Grands Boulevards). Dans le quartier, vous trouverez de tout (restaurants, supermarchés, cafés, bars, clubs, pharmacies). 2. Les chambres, bien que petites, sont impeccablement propres. Le personnel vidait chaque jour les poubelles - changeait les serviettes - réapprovisionnait ce qui manquait (par exemple du savon, etc.) 3. Le petit déjeuner était bon avec des options satisfaisantes (croissants, confitures, 3 types de yaourts, fruits, 3 types de fromages, 3 types de charcuterie, 2 machines à café, thé, camomille, etc.). Points négatifs : 1. La chaleur dans la pièce était insupportable, insupportable. Le chauffage ne baissait nulle part, la climatisation ne fonctionnait pas - la fenêtre ne se rétractait pas et se rafraîchissait un peu. 2. La douche n'avait pas beaucoup de pression d'eau sortant du téléphone. 3. Très petite pièce. Il peut à peine accueillir 2 personnes avec des valises. 4. La chambre n'avait pas de réfrigérateur. En résumé, un hôtel parisien classique.",82,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.5846753716468811,3,0.0,neu,fr,points positifs excellent emplacement l hôtel est très bien situé à paris l'accès est très facile au mètre minutes à pied depuis l'arrêt grands boulevards dans le quartier vous trouverez de tout restaurants supermarchés cafés bars clubs pharmacies les chambres bien que petites sont impeccablement propres le personnel vidait chaque jour les poubelles - changeait les serviettes - réapprovisionnait ce qui manquait par exemple du savon etc le petit déjeuner était bon avec des options satisfaisantes croissants confitures types de yaourts fruits types de fromages types de charcuterie machines à café thé camomille etc points négatifs la chaleur dans la pièce était insupportable insupportable le chauffage ne baissait nulle part la climatisation ne fonctionnait pas - la fenêtre ne se rétractait pas et se rafraîchissait un peu la douche n'avait pas beaucoup de pression d'eau sortant du téléphone très petite pièce il peut à peine accueillir personnes avec des valises la chambre n'avait pas de réfrigérateur en résumé un hôtel parisien classique,4,0.0536814095613715,"chambres, petites, chambres petites, propres",Chambre / Confort,177,0.1932182608704685,0
phil wylie,"Un hôtel 3 étoiles. Les points positifs étaient le petit-déjeuner et l'emplacement. La chambre était confortable et fonctionnelle. Le personnel était compétent. Les points négatifs étaient l'ascenseur menant à la réception au premier étage, hors service, ce qui obligeait à monter les valises sur 30 à 40 marches, faute de service de bagagiste. La chambre était petite, ce qui est normal en Europe, mais il n'y avait pas de détecteur de fumée au plafond. Mauvais. Compte tenu de l'entrée initiale, l'hôtel n'est probablement pas vraiment adapté aux personnes âgées.",23,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.9799799919128418,3,0.0,neu,fr,un hôtel étoiles les points positifs étaient le petit-déjeuner et l'emplacement la chambre était confortable et fonctionnelle le personnel était compétent les points négatifs étaient l'ascenseur menant à la réception au premier étage hors service ce qui obligeait à monter les valises sur à marches faute de service de bagagiste la chambre était petite ce qui est normal en europe mais il n'y avait pas de détecteur de fumée au plafond mauvais compte tenu de l'entrée initiale l'hôtel n'est probablement pas vraiment adapté aux personnes âgées,3,0.1142048351848041,"chambre, petite, chambre petite, lit",Chambre / Confort,96,0.1398290594430362,0
Dada',"Hôtel ancien mais soigné, très bien situé pour se déplacer à pied, petit déjeuner parfait",177,BW_Ronceray_Opera,1189,4.0,3.8,5 stars,0.4948956966400146,5,1.0,pos,fr,hôtel ancien mais soigné très bien situé pour se déplacer à pied petit déjeuner parfait,2,0.1161945885899963,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,15,0.4614605838027114,0
Nicola Avantaggiati,"Hôtel très accueillant et personnel très sympathique. Excellent petit déjeuner. Il est situé dans une excellente position regorgeant de magasins et de lieux où vous pourrez déguster de nombreuses spécialités. Situé à 10 minutes de l'église du Sacré Coeur dans le quartier de Montmartre. Et d'où il se trouve, vous pourrez visiter toutes les beautés de la ville de Paris.",81,BW_Ronceray_Opera,1189,5.0,3.8,5 stars,0.7512333393096924,5,1.0,pos,fr,hôtel très accueillant et personnel très sympathique excellent petit déjeuner il est situé dans une excellente position regorgeant de magasins et de lieux où vous pourrez déguster de nombreuses spécialités situé à minutes de l'église du sacré coeur dans le quartier de montmartre et d'où il se trouve vous pourrez visiter toutes les beautés de la ville de paris,5,0.101373092233152,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,62,0.501101272910048,1
Michele Mezzapesa,"La convivialité et l'hospitalité n'existent pas. insatisfait, deux nuits deux personnes 500 € environ une seule bouteille d'eau 50cl pour deux personnes et deux nuits, deux serviettes de douche et deux serviettes de visage. ils ont seulement changé le tapis de la douche. Honteux, également en 2024 seule prise électrique à proximité de la télé, donc impossible de recharger son téléphone pendant qu'on est au lit. hautement déconseillé",5,BW_Ronceray_Opera,1189,1.0,3.8,1 star,0.9353379011154176,1,-1.0,neg,fr,la convivialité et l'hospitalité n'existent pas insatisfait deux nuits deux personnes environ une seule bouteille d'eau cl pour deux personnes et deux nuits deux serviettes de douche et deux serviettes de visage ils ont seulement changé le tapis de la douche honteux également en seule prise électrique à proximité de la télé donc impossible de recharger son téléphone pendant qu'on est au lit hautement déconseillé,8,0.0343968202548792,"salle, bain, salle bain, douche",Salle de bain,71,0.4813210709713283,0
Escape45318182842,"J'ai choisi cet hôtel pour son emplacement et j'en ai été ravi. Cependant, l'hôtel était en partie très défraîchi et avait besoin d'une rénovation. La première chambre qui nous a été attribuée, la 312, était horrible : meubles et parquet",0,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.4471588134765625,3,0.0,neu,fr,j'ai choisi cet hôtel pour son emplacement et j'en ai été ravi cependant l'hôtel était en partie très défraîchi et avait besoin d'une rénovation la première chambre qui nous a été attribuée la était horrible meubles et parquet,6,0.0566871644012492,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,43,0.0634496235247752,0
Santo Sorbera,"Excellent hôtel pour se déplacer, bon petit déjeuner et personnel excellent, notamment à la réception, tout le monde était très gentil y compris un monsieur qui parlait très bien italien. Le seul petit défaut c'est les chambres très petites avec le lit en mezzanine quand même très confortable pour dormir. Informé",6,BW_Ronceray_Opera,1189,5.0,3.8,4 stars,0.7779287695884705,4,0.5,pos,fr,excellent hôtel pour se déplacer bon petit déjeuner et personnel excellent notamment à la réception tout le monde était très gentil y compris un monsieur qui parlait très bien italien le seul petit défaut c'est les chambres très petites avec le lit en mezzanine quand même très confortable pour dormir informé,2,0.1102115826073853,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,52,0.2950931520456175,0
Rafaela Verdan,"Excellent emplacement ! Chambres spacieuses, salle de bain rénovée, flambant neuve. Le lit est incroyable et les draps sont parfaits. Tout était parfait. Je souffre d'allergies et je n'en ai eu aucun problème pendant mon séjour. J'ai eu la chance d'avoir une chambre avec une vue magnifique sur la basilique Montmartre ❤️",22,BW_Ronceray_Opera,1189,5.0,3.8,5 stars,0.9403223395347596,5,1.0,pos,fr,excellent emplacement chambres spacieuses salle de bain rénovée flambant neuve le lit est incroyable et les draps sont parfaits tout était parfait je souffre d'allergies et je n'en ai eu aucun problème pendant mon séjour j'ai eu la chance d'avoir une chambre avec une vue magnifique sur la basilique montmartre,6,0.1147750973972575,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,54,0.4989966245094899,1
Matilde Morra,"Nous avons séjourné dans cet hôtel pendant cinq nuits, le personnel est gentil et serviable, juste en dessous de l'hôtel il y a une belle galerie marchande et une station de métro, nous avons également apprécié le petit déjeuner, sucré et salé, le seul défaut était l'ascenseur un peu vieillot",14,BW_Ronceray_Opera,1189,4.0,3.8,4 stars,0.6855357885360718,4,0.5,pos,fr,nous avons séjourné dans cet hôtel pendant cinq nuits le personnel est gentil et serviable juste en dessous de l'hôtel il y a une belle galerie marchande et une station de métro nous avons également apprécié le petit déjeuner sucré et salé le seul défaut était l'ascenseur un peu vieillot,2,0.0700935930689047,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,52,0.2779727797270092,0
Evelina,"Tout d'abord, je voudrais dire que c'est le meilleur endroit pour séjourner à Paris. Emplacement merveilleux, on pouvait aller partout à pied, et sinon, le métro était juste à côté de l'hôtel, la connexion depuis la place publique est",7,BW_Ronceray_Opera,1189,4.0,3.8,4 stars,0.2897646725177765,4,0.5,pos,fr,tout d'abord je voudrais dire que c'est le meilleur endroit pour séjourner à paris emplacement merveilleux on pouvait aller partout à pied et sinon le métro était juste à côté de l'hôtel la connexion depuis la place publique est,6,0.0634411771777326,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,42,0.265353906781844,0
Rosimara Freitas Magalhães,La petite pièce ancienne ressemble à un labyrinthe. Le café n'a rien d'exceptionnel.,21,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.4695428907871246,3,0.0,neu,fr,la petite pièce ancienne ressemble à un labyrinthe le café n'a rien d'exceptionnel,3,0.0596910661578378,"chambre, petite, chambre petite, lit",Chambre / Confort,15,0.0373476770374431,0
IreneValerio18,"L'hôtel est idéalement situé, à proximité de la station de métro « Grands Boulevard » (ligne 8) et des bus. Il est toujours bondé de gens qui flânent ou fréquentent les nombreux bars à proximité. Malgré cela, mon copain et moi n'avons",0,BW_Ronceray_Opera,1189,5.0,3.8,4 stars,0.4079267084598541,4,0.5,pos,fr,l'hôtel est idéalement situé à proximité de la station de métro grands boulevard ligne et des bus il est toujours bondé de gens qui flânent ou fréquentent les nombreux bars à proximité malgré cela mon copain et moi n'avons,0,0.1159904289806673,"situé, hôtel, hôtel situé, métro",Localisation / Transports,42,0.2877793265568703,0
maria laura gkika,Excellent hôtel avec des chambres très belles et propres ! Les gens qui travaillaient là-bas étaient très gentils et prêts à aider !,12,BW_Ronceray_Opera,1189,5.0,3.8,5 stars,0.8743535280227661,5,1.0,pos,fr,excellent hôtel avec des chambres très belles et propres les gens qui travaillaient là-bas étaient très gentils et prêts à aider,4,0.090579696741666,"chambres, petites, chambres petites, propres",Chambre / Confort,22,0.4573753815260973,0
Κουτζαγιώτη Μαρία,"Nous recherchions un hôtel principalement proche des commerces, du métro et dans un quartier sûr (un atout majeur pour Paris). En réalité, l'hôtel répondait parfaitement à nos attentes. En moins de 2 minutes, nous étions à la ligne de métro 8 et 9, et à deux pas de restaurants, crêperies, boutiques de souvenirs, brunchs et bien plus encore. Nous sommes allés au musée du Louvre à pied, le trajet n'étant que de 20 minutes et agréable, même si nous aurions également pu prendre le métro. Concernant les services de l'hôtel : l'ensemble du bâtiment est ancien. Dans les couloirs, une seule moquette dégage une odeur désagréable, due aux années et à l'humidité. Les chambres étaient relativement propres ; bien sûr, les draps n'ont pas été changés du tout pendant les 4 jours de notre séjour. Nos sacs poubelles étaient changés et nos lits faits tous les jours. Concernant le petit-déjeuner : la salle est petite mais agréable. Le choix comprenait des œufs, des saucisses, du bacon, des croissants et autres viennoiseries, du fromage, du salami, du pain et des céréales. Personnellement, je n'ai pas été emballé, car les croissants étaient toujours froids les quatre jours (nous y sommes allés tôt le matin, c'est pourquoi nous nous attendions à ce qu'ils soient chauds, voire tièdes), et le grille-pain ne fonctionnait pas non plus d'un côté. Cependant, si vous voulez au moins manger un morceau au petit-déjeuner sans avoir une faim de loup à 11-12 heures, c'est satisfaisant.",18,BW_Ronceray_Opera,1189,3.0,3.8,4 stars,0.471768707036972,4,0.5,pos,fr,nous recherchions un hôtel principalement proche des commerces du métro et dans un quartier sûr un atout majeur pour paris en réalité l'hôtel répondait parfaitement à nos attentes en moins de minutes nous étions à la ligne de métro et et à deux pas de restaurants crêperies boutiques de souvenirs brunchs et bien plus encore nous sommes allés au musée du louvre à pied le trajet n'étant que de minutes et agréable même si nous aurions également pu prendre le métro concernant les services de l'hôtel l'ensemble du bâtiment est ancien dans les couloirs une seule moquette dégage une odeur désagréable due aux années et à l'humidité les chambres étaient relativement propres bien sûr les draps n'ont pas été changés du tout pendant les jours de notre séjour nos sacs poubelles étaient changés et nos lits faits tous les jours concernant le petit-déjeuner la salle est petite mais agréable le choix comprenait des ufs des saucisses du bacon des croissants et autres viennoiseries du fromage du salami du pain et des céréales personnellement je n'ai pas été emballé car les croissants étaient toujours froids les quatre jours nous y sommes allés tôt le matin c'est pourquoi nous nous attendions à ce qu'ils soient chauds voire tièdes et le grille-pain ne fonctionnait pas non plus d'un côté cependant si vous voulez au moins manger un morceau au petit-déjeuner sans avoir une faim de loup à - heures c'est satisfaisant,2,0.0711108794418549,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,258,0.4798738998660273,0
Spinal2111,"Ce bâtiment date donc des années 1800, et en tant que tel, il comportera les bizarreries qui y sont associées. Il n'y a qu'un seul ascenseur, il est plus petit mais peut accueillir confortablement 5 personnes, l'hôtel n'est pas vraiment occupé donc il est généralement disponible... à moins qu'il ne soit hors service ou utilisé pour quelque chose. Les chambres sont très petites, peut-être que certaines situées aux étages supérieurs (comme 4 ou 5) sont meilleures, mais tout ce qui se trouve en dessous est minuscule. Le signal Wifi est également horrible, ma chambre avait des bars pleins à côté de la porte et un bar si j'avais de la chance à côté du lit, donc c'était amusant à gérer. Il y a un concierge 24h/24 et 7j/7, ce qui est sympa - Youb est d'ailleurs excellent, probablement la seule personne qui se soucie de son travail dans cet hôtel. Tout le monde est impoli/déprimé ou tout simplement désagréable. Le petit-déjeuner quotidien est le même tous les jours, les œufs sont extrêmement crémeux, ce qui, je crois, est une chose française, donc ce n'est peut-être pas à votre goût, et le bacon est insuffisamment cuit, pas croustillant du tout. D'une manière ou d'une autre, ils conservent une quantité limitée d'œufs durs et de fruits, puis s'épuisent en milieu de semaine, mais les croissants sont bons. Je dirai que l'hôtel est assez propre, les couloirs sont étroits et chaque lumière dans une zone commune est sur un capteur de mouvement, donc si vous vous levez tôt pour le petit-déjeuner, le couloir est sombre comme dans un film d'horreur. Je suis d'accord avec l'autre critique concernant le décollement du papier peint, la salle de bain ne semble pas avoir de ventilateur d'extraction fonctionnant sur un interrupteur, donc la vapeur s'accumule et provoque probablement beaucoup d'accumulation d'humidité jusqu'à ce que vous ouvriez la porte. L'emplacement est génial cependant, proche de tout ce qui concerne la marche et de la station de métro. Les vues dépendent toutes de l'endroit où vous vous trouvez dans l'hôtel, dans certaines chambres, vous pouvez sentir le grondement du métro au passage.",347,BW_Ronceray_Opera,1189,3.0,3.8,3 stars,0.4571506381034851,3,0.0,neu,fr,ce bâtiment date donc des années et en tant que tel il comportera les bizarreries qui y sont associées il n'y a qu'un seul ascenseur il est plus petit mais peut accueillir confortablement personnes l'hôtel n'est pas vraiment occupé donc il est généralement disponible à moins qu'il ne soit hors service ou utilisé pour quelque chose les chambres sont très petites peut-être que certaines situées aux étages supérieurs comme ou sont meilleures mais tout ce qui se trouve en dessous est minuscule le signal wifi est également horrible ma chambre avait des bars pleins à côté de la porte et un bar si j'avais de la chance à côté du lit donc c'était amusant à gérer il y a un concierge h et j ce qui est sympa - youb est d'ailleurs excellent probablement la seule personne qui se soucie de son travail dans cet hôtel tout le monde est impoli déprimé ou tout simplement désagréable le petit-déjeuner quotidien est le même tous les jours les ufs sont extrêmement crémeux ce qui je crois est une chose française donc ce n'est peut-être pas à votre goût et le bacon est insuffisamment cuit pas croustillant du tout d'une manière ou d'une autre ils conservent une quantité limitée d' ufs durs et de fruits puis s'épuisent en milieu de semaine mais les croissants sont bons je dirai que l'hôtel est assez propre les couloirs sont étroits et chaque lumière dans une zone commune est sur un capteur de mouvement donc si vous vous levez tôt pour le petit-déjeuner le couloir est sombre comme dans un film d'horreur je suis d'accord avec l'autre critique concernant le décollement du papier peint la salle de bain ne semble pas avoir de ventilateur d'extraction fonctionnant sur un interrupteur donc la vapeur s'accumule et provoque probablement beaucoup d'accumulation d'humidité jusqu'à ce que vous ouvriez la porte l'emplacement est génial cependant proche de tout ce qui concerne la marche et de la station de métro les vues dépendent toutes de l'endroit où vous vous trouvez dans l'hôtel dans certaines chambres vous pouvez sentir le grondement du métro au passage,2,0.0818380719570893,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,384,0.407679118558494,0
